SOC code,Job type,Related job titles
2259,Other health professionals not elsewhere classified.,Audiologists Cardiac physiologists Dietitians Health promotion officers Medical physicists and nuclear medicine scientists Mental health workers Occupational health advisers Operating department practitioners Orthotists and prosthetists Respiratory physiologists Sexual health advisers Other health professionals not elsewhere classified.
2311,Higher education teaching professionals,Higher education teaching professionals
2312,Further education teaching professionals,Further education teaching professionals
2313,Secondary education teaching professionals,Teachers of art Teachers of biology Teachers of chemistry Teachers of design technology Teachers of drama Teachers of economics Teachers of English Teachers of geography Teachers of history Teachers of ICT and computer science Teachers of mathematics Teachers of modern foreign languages Teachers of music Teachers of physical education Teachers of physics Teachers of psychology Teachers of religious education Teachers of science Teachers of sociology Teachers of Welsh Secondary education teaching professionals not elsewhere classified.
2314,Primary education teaching professionals,Primary education teaching professionals
2315,Nursery education teaching professionals,Nursery education teaching professionals
2316,Special and additional needs education teaching professionals,Special and additional educational needs teachers and coordinators Teachers of the deaf Teachers of the visually impaired Special and additional needs education teaching professionals not elsewhere classified.
2317,Teachers of english as a foreign language,Teachers of English as a Foreign Language
2319,Teaching professionals not elsewhere classified.,Adult education tutors Dance and drama school principals and owners Private music and singing teachers Private tutors Teaching professionals not elsewhere classified.
2321,Head teachers and principals,Heads of further education establishments Heads of higher education establishments Heads of nursery schools Heads of primary schools Heads of secondary schools and sixth form colleges Heads of special needs education schools Head teachers and principals not elsewhere classified.
2322,Education managers,Education managers
2323,Education advisers and school inspectors,Educational advisers School inspectors
2324,Early education and childcare services managers,Early education and childcare services managers
2329,Other educational professionals not elsewhere classified,Bursars Educational administrators Examiners and markers Other educational professionals not elsewhere classified.
2411,Barristers and judges,Barristers and advocates Judges Barristers and judges not elsewhere classified.
2412,Solicitors and lawyers,Commercial solicitors and lawyers Criminal solicitors and lawyers Family solicitors and lawyers Property solicitors and lawyers Solicitors and lawyers not elsewhere classified.
2419,Legal professionals not elsewhere classified.,Conveyancers Litigation executives Paralegals Patent and trademark attorneys Legal professionals not elsewhere classified.
2421,Chartered and certified accountants,Auditors Financial accountants Forensic accountants Fund accountants Insolvency practitoners Chartered and certified accountants not elsewhere classified.
2422,Finance and investment analysts and advisers,Credit analysts Financial advisers and planners Financial analysts Mortgage advisers Finance and investment analysts and advisers not elsewhere classified.
2423,Taxation experts,Taxation experts
2431,Management consultants and business analysts,Business analysts and consultants Management advisers and consultants Risk analysts Management consultants and business analysts not elsewhere classified.
2432,Marketing and commercial managers,Commercial managers Marketing managers Marketing and commercial managers not elsewhere classified.
2433,"Actuaries, economists and statisticians","Actuaries and actuarial analysts Economists Mathematicians Statistical data scientists Statisticians Actuaries, economists and statisticians not elsewhere classified."
2434,Business and related research professionals,Intelligence analysts Researchers in media and entertainment Business and related research professionals not elsewhere classified.
2435,Professional/chartered company secretaries,Professional/chartered company secretaries
2439,"Business, research and administrative professionals not elsewhere classified.","Policy officers Business, research and administrative professionals not elsewhere classified."
2440,Business and financial project management professionals,Business change managers Clinical trials coordinators Risk managers Business and financial project management professionals not elsewhere classified.
2451,Architects,Architects Landscape architects and designers
2452,"Chartered architectural technologists, planning officers and consultants","Chartered architectural technologists Town planning officers Urban designers Chartered architectural technologists, planning officers and consultants not elsewhere classified."
2453,Quantity surveyors,Quantity surveyors
2454,Chartered surveyors,Building control surveyors Hydrographic surveyors Land surveyors Property surveyors Chartered surveyors not elsewhere classified.
2455,Construction project managers and related professionals,Construction project and contract managers Transport planners Construction project managers and related professionals not elsewhere classified.
2461,Social workers,"Adult social workers Children, family and school social workers Criminal justice social workers Mental health and healthcare social workers Social workers not elsewhere classified."
2462,Probation officers,Probation officers
2463,Clergy,Clergy
2464,Youth work professionals,Youth work professionals
